Datum,Broj,Zemlja
28/02/2020,11,Italija
29/02/2020,15,Italija
1/3/2020,19,Italija
2/3/2020,28,Italija
3/3/2020,30,Italija
4/3/2020,41,Italija
5/3/2020,51,Italija
6/3/2020,64,Italija
7/3/2020,77,Italija
8/3/2020,97,Italija
9/3/2020,122,Italija
10/3/2020,152,Italija
11/3/2020,168,Italija
12/3/2020,206,Italija
13/03/2020,250,Italija
14/03/2020,293,Italija
15/03/2020,294,Italija
16/03/2020,397,Italija
17/03/2020,464,Italija
18/03/2020,522,Italija
19/03/2020,592,Italija
20/03/2020,680,Italija
21/03/2020,779,Italija
22/03/2020,888,Italija
23/03/2020,980,Italija
24/03/2020,1059,Italija
25/03/2020,1146,Italija
26/03/2020,1232,Italija
27/03/2020,1334,Italija
28/03/2020,1433,Italija
29/03/2020,1532,Italija
30/03/2020,1618,Italija
31/03/2020,1686,Italija
1/4/2020,1753,Italija
2/4/2020,1832,Italija
3/4/2020,1909,Italija
28/02/2020,1,Svajcarska
29/02/2020,1,Svajcarska
1/3/2020,2,Svajcarska
2/3/2020,3,Svajcarska
3/3/2020,4,Svajcarska
4/3/2020,4,Svajcarska
5/3/2020,7,Svajcarska
6/3/2020,10,Svajcarska
7/3/2020,24,Svajcarska
8/3/2020,31,Svajcarska
9/3/2020,39,Svajcarska
10/3/2020,44,Svajcarska
11/3/2020,57,Svajcarska
12/3/2020,75,Svajcarska
13/03/2020,100,Svajcarska
14/03/2020,131,Svajcarska
15/03/2020,159,Svajcarska
16/03/2020,257,Svajcarska
17/03/2020,257,Svajcarska
18/03/2020,310,Svajcarska
19/03/2020,352,Svajcarska
20/03/2020,455,Svajcarska
21/03/2020,566,Svajcarska
22/03/2020,711,Svajcarska
23/03/2020,816,Svajcarska
24/03/2020,938,Svajcarska
25/03/2020,1029,Svajcarska
26/03/2020,1137,Svajcarska
27/03/2020,1254,Svajcarska
28/03/2020,1417,Svajcarska
29/03/2020,1539,Svajcarska
30/03/2020,1671,Svajcarska
31/03/2020,1804,Svajcarska
1/4/2020,1885,Svajcarska
2/4/2020,1998,Svajcarska
3/4/2020,2205,Svajcarska
28/02/2020,1,Nemacka
29/02/2020,1,Nemacka
1/3/2020,1,Nemacka
2/3/2020,2,Nemacka
3/3/2020,2,Nemacka
4/3/2020,2,Nemacka
5/3/2020,3,Nemacka
6/3/2020,5,Nemacka
7/3/2020,8,Nemacka
8/3/2020,10,Nemacka
9/3/2020,11,Nemacka
10/3/2020,14,Nemacka
11/3/2020,16,Nemacka
12/3/2020,19,Nemacka
13/03/2020,29,Nemacka
14/03/2020,37,Nemacka
15/03/2020,46,Nemacka
16/03/2020,58,Nemacka
17/03/2020,72,Nemacka
18/03/2020,86,Nemacka
19/03/2020,99,Nemacka
20/03/2020,170,Nemacka
21/03/2020,219,Nemacka
22/03/2020,259,Nemacka
23/03/2020,298,Nemacka
24/03/2020,352,Nemacka
25/03/2020,380,Nemacka
26/03/2020,440,Nemacka
27/03/2020,509,Nemacka
28/03/2020,585,Nemacka
29/03/2020,633,Nemacka
30/03/2020,690,Nemacka
31/03/2020,746,Nemacka
1/4/2020,811,Nemacka
2/4/2020,886,Nemacka
3/4/2020,886,Nemacka
28/02/2020,1,Francuska
29/02/2020,1,Francuska
1/3/2020,1,Francuska
2/3/2020,2,Francuska
3/3/2020,3,Francuska
4/3/2020,3,Francuska
5/3/2020,4,Francuska
6/3/2020,6,Francuska
7/3/2020,9,Francuska
8/3/2020,11,Francuska
9/3/2020,17,Francuska
10/3/2020,21,Francuska
11/3/2020,27,Francuska
12/3/2020,34,Francuska
13/03/2020,43,Francuska
14/03/2020,55,Francuska
15/03/2020,67,Francuska
16/03/2020,81,Francuska
17/03/2020,99,Francuska
18/03/2020,115,Francuska
19/03/2020,136,Francuska
20/03/2020,164,Francuska
21/03/2020,188,Francuska
22/03/2020,216,Francuska
23/03/2020,239,Francuska
24/03/2020,296,Francuska
25/03/2020,333,Francuska
26/03/2020,377,Francuska
27/03/2020,435,Francuska
28/03/2020,492,Francuska
29/03/2020,561,Francuska
30/03/2020,599,Francuska
31/03/2020,665,Francuska
1/4/2020,778,Francuska
2/4/2020,850,Francuska
3/4/2020,882,Francuska
28/02/2020,1,Spanija
29/02/2020,1,Spanija
1/3/2020,1,Spanija
2/3/2020,2,Spanija
3/3/2020,2,Spanija
4/3/2020,3,Spanija
5/3/2020,4,Spanija
6/3/2020,6,Spanija
7/3/2020,8,Spanija
8/3/2020,9,Spanija
9/3/2020,13,Spanija
10/3/2020,26,Spanija
11/3/2020,35,Spanija
12/3/2020,46,Spanija
13/03/2020,64,Spanija
14/03/2020,90,Spanija
15/03/2020,123,Spanija
16/03/2020,165,Spanija
17/03/2020,196,Spanija
18/03/2020,238,Spanija
19/03/2020,292,Spanija
20/03/2020,365,Spanija
21/03/2020,426,Spanija
22/03/2020,531,Spanija
23/03/2020,609,Spanija
24/03/2020,705,Spanija
25/03/2020,845,Spanija
26/03/2020,1014,Spanija
27/03/2020,1197,Spanija
28/03/2020,1365,Spanija
29/03/2020,1539,Spanija
30/03/2020,1679,Spanija
31/03/2020,1815,Spanija
1/4/2020,2012,Spanija
2/4/2020,2176,Spanija
3/4/2020,2349,Spanija
28/02/2020,0,Srbija
29/02/2020,0,Srbija
1/3/2020,0,Srbija
2/3/2020,0,Srbija
3/3/2020,0,Srbija
4/3/2020,0,Srbija
5/3/2020,0,Srbija
6/3/2020,0,Srbija
7/3/2020,0,Srbija
8/3/2020,0,Srbija
9/3/2020,0,Srbija
10/3/2020,0,Srbija
11/3/2020,2,Srbija
12/3/2020,2,Srbija
13/03/2020,4,Srbija
14/03/2020,5,Srbija
15/03/2020,5,Srbija
16/03/2020,6,Srbija
17/03/2020,8,Srbija
18/03/2020,10,Srbija
19/03/2020,11,Srbija
20/03/2020,15,Srbija
21/03/2020,19,Srbija
22/03/2020,25,Srbija
23/03/2020,28,Srbija
24/03/2020,34,Srbija
25/03/2020,43,Srbija
26/03/2020,52,Srbija
27/03/2020,60,Srbija
28/03/2020,75,Srbija
29/03/2020,84,Srbija
30/03/2020,89,Srbija
31/03/2020,102,Srbija
1/4/2020,121,Srbija
2/4/2020,133,Srbija
3/4/2020,168,Srbija
